id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
363  ,Mon 9/6   ,New Mexico               ,235390                ,4554
364  ,Mon 9/6   ,New York                 ,2305126               ,54037
365  ,Mon 9/6   ,North Carolina           ,1239293               ,14726
366  ,Mon 9/6   ,North Dakota             ,119724                ,1596
367  ,Mon 9/6   ,Northern Mariana Islands ,248                   ,2
368  ,Mon 9/6   ,Ohio                     ,1257142               ,20947
369  ,Mon 9/6   ,Oklahoma                 ,560850                ,8001
370  ,Mon 9/6   ,Oregon                   ,283873                ,3281
371  ,Mon 9/6   ,Pennsylvania             ,1322184               ,28398
372  ,Mon 9/6   ,Puerto Rico              ,208005                ,2923
373  ,Mon 9/6   ,Rhode Island             ,163742                ,2773
374  ,Mon 9/6   ,South Carolina           ,769402                ,10945
375  ,Mon 9/6   ,South Dakota             ,133855                ,2072
376  ,Mon 9/6   ,Tennessee                ,1051599               ,13522
377  ,Mon 9/6   ,Texas                    ,3700956               ,58619
378  ,Mon 9/6   ,Utah                     ,469510                ,2658
379  ,Mon 9/6   ,Vermont                  ,29125                 ,282
380  ,Mon 9/6   ,Virgin Islands           ,5961                  ,57
381  ,Mon 9/6   ,Virginia                 ,786910                ,11929
382  ,Mon 9/6   ,Washington               ,577902                ,6749
383  ,Mon 9/6   ,West Virginia            ,199300                ,3148
384  ,Mon 9/6   ,Wisconsin                ,745837                ,8536
385  ,Mon 9/6   ,Wyoming                  ,77206                 ,858
386  ,Tue 9/7   ,Alabama                  ,727360                ,12420
387  ,Tue 9/7   ,Alaska                   ,92054                 ,433
388  ,Tue 9/7   ,Arizona                  ,1034790               ,19053
389  ,Tue 9/7   ,Arkansas                 ,465315                ,7108
390  ,Tue 9/7   ,California               ,4536771               ,66569
391  ,Tue 9/7   ,Colorado                 ,632108                ,7403
392  ,Tue 9/7   ,Connecticut              ,376747                ,8395
393  ,Tue 9/7   ,Delaware                 ,122718                ,1891
394  ,Tue 9/7   ,District of Columbia     ,56569                 ,1163
395  ,Tue 9/7   ,Florida                  ,3364998               ,46973
396  ,Tue 9/7   ,Georgia                  ,1427735               ,22590
397  ,Tue 9/7   ,Guam                     ,12463                 ,154
398  ,Tue 9/7   ,Hawaii                   ,66554                 ,623
399  ,Tue 9/7   ,Idaho                    ,228162                ,2412
400  ,Tue 9/7   ,Illinois                 ,1554798               ,26697
401  ,Tue 9/7   ,Indiana                  ,889827                ,14623
402  ,Tue 9/7   ,Iowa                     ,414784                ,6307
403  ,Tue 9/7   ,Kansas                   ,378482                ,5662
404  ,Tue 9/7   ,Kentucky                 ,608088                ,7963
405  ,Tue 9/7   ,Louisiana                ,702432                ,12779
406  ,Tue 9/7   ,Maine                    ,78071                 ,940
407  ,Tue 9/7   ,Maryland                 ,505080                ,10094
408  ,Tue 9/7   ,Massachusetts            ,771267                ,18298
409  ,Tue 9/7   ,Michigan                 ,1076039               ,21691
410  ,Tue 9/7   ,Minnesota                ,657585                ,7949
411  ,Tue 9/7   ,Mississippi              ,453348                ,8685
412  ,Tue 9/7   ,Missouri                 ,790128                ,11369
413  ,Tue 9/7   ,Montana                  ,130830                ,1819
414  ,Tue 9/7   ,Nebraska                 ,249108                ,2602
415  ,Tue 9/7   ,Nevada                   ,397788                ,6604
416  ,Tue 9/7   ,New Hampshire            ,109716                ,1430
417  ,Tue 9/7   ,New Jersey               ,1104793               ,26978
418  ,Tue 9/7   ,New Mexico               ,237889                ,4564
419  ,Tue 9/7   ,New York                 ,2308382               ,54069
420  ,Tue 9/7   ,North Carolina           ,1264147               ,14848
421  ,Tue 9/7   ,North Dakota             ,119995                ,1596
422  ,Tue 9/7   ,Northern Mariana Islands ,248                   ,2
423  ,Tue 9/7   ,Ohio                     ,1262018               ,21020
424  ,Tue 9/7   ,Oklahoma                 ,570923                ,8001
